#TIME,UID,dx/dt,dy/dt
#TU=60
1,9,0.0,90.0
2,13,170.0,0.0
3,19,-140.0,-100.0
4,29,-40.0,-20.0
5,40,10.0,150.0
6,49,-120.0,0.0
7,61,70.0,0.0
8,69,130.0,120.0
9,82,10.0,-190.0
10,89,0.0,-90.0
11,98,0.0,-160.0
12,111,-30.0,-100.0
13,123,-30.0,30.0
14,137,-90.0,-80.0
15,148,-20.0,-140.0
16,165,110.0,30.0
17,173,110.0,0.0
18,186,110.0,80.0
19,198,20.0,-20.0
20,206,140.0,0.0
21,216,-90.0,-150.0
22,221,-10.0,50.0
23,227,0.0,-140.0
24,234,-10.0,100.0
25,244,80.0,-50.0
26,252,0.0,-80.0
27,257,-20.0,-110.0
28,265,0.0,100.0
29,275,0.0,-180.0
30,286,-50.0,-170.0
31,299,60.0,0.0
32,304,90.0,110.0
33,309,40.0,-190.0
34,316,10.0,-100.0
35,329,0.0,180.0
36,336,-150.0,-60.0
37,344,-50.0,-40.0
38,355,-80.0,-10.0
39,361,-30.0,-140.0
40,375,0.0,-100.0
41,385,-50.0,-50.0
42,393,-50.0,-60.0
43,404,0.0,-70.0
44,416,-10.0,130.0
45,422,20.0,0.0
46,434,-60.0,-50.0
47,440,0.0,-110.0
48,456,-90.0,60.0
49,462,-70.0,-20.0
50,470,0.0,-100.0
51,481,110.0,80.0
52,494,-10.0,80.0
53,503,0.0,100.0
54,515,-110.0,-100.0
55,523,10.0,100.0
56,528,100.0,0.0
57,538,30.0,130.0
58,544,80.0,0.0
59,557,-10.0,100.0
60,568,0.0,-90.0
61,579,-70.0,10.0
62,589,-190.0,-100.0
63,600,10.0,-120.0
64,604,70.0,0.0
65,611,-30.0,100.0
66,622,100.0,-100.0
67,632,-20.0,-100.0
68,643,0.0,-60.0
69,656,60.0,70.0
70,666,-10.0,-80.0
71,678,-160.0,100.0
72,697,-20.0,-170.0
73,704,0.0,60.0
74,720,90.0,-70.0
75,740,-50.0,50.0
76,754,-30.0,30.0
77,761,60.0,0.0
78,766,30.0,-120.0
79,775,0.0,100.0
80,786,0.0,130.0
81,798,-20.0,210.0
82,807,90.0,60.0
83,820,0.0,-120.0
84,825,0.0,-100.0
85,841,20.0,-80.0
86,857,140.0,10.0
87,869,-90.0,0.0
88,874,-70.0,40.0
89,880,-10.0,-100.0
90,897,-30.0,130.0
91,902,20.0,-70.0
92,915,60.0,60.0
93,924,-200.0,10.0
94,942,0.0,-100.0
95,956,-30.0,-120.0
96,969,-50.0,160.0
97,979,-40.0,30.0
98,988,-90.0,120.0
99,993,0.0,160.0
100,1000,-40.0,-30.0
101,1010,20.0,140.0
102,1017,10.0,150.0
103,1030,20.0,-110.0
104,1047,40.0,-160.0
105,1054,-130.0,-70.0
106,1066,10.0,-70.0
107,1083,10.0,100.0
108,1096,-30.0,-10.0
109,1105,0.0,-50.0
110,1112,40.0,-150.0
111,1121,0.0,-80.0
112,1139,10.0,-10.0
113,1157,-30.0,-130.0
114,1164,140.0,90.0
115,1170,5.0,-15.0
116,1175,-130.0,160.0
117,1188,-10.0,-170.0
118,1206,0.0,100.0
119,1219,0.0,60.0
120,1231,-50.0,-50.0
121,1245,0.0,-60.0
122,1254,-60.0,110.0
123,1262,0.0,-160.0
124,1266,-50.0,-30.0
125,1278,-110.0,20.0
126,1289,0.0,-140.0
127,1298,0.0,60.0
128,1307,-10.0,70.0
129,1323,-150.0,-60.0
130,1330,-50.0,-60.0
131,1336,100.0,-50.0
132,1343,10.0,140.0
133,1358,10.0,30.0
134,1367,-60.0,120.0
135,1377,10.0,60.0
136,1385,0.0,40.0
137,1394,-40.0,-60.0
138,1409,-40.0,-40.0
139,1416,-90.0,0.0
140,1431,20.0,-90.0
141,1448,-160.0,40.0
142,1460,-60.0,0.0
143,1472,0.0,180.0
144,1490,-60.0,-110.0
145,1497,50.0,40.0
146,1505,-20.0,90.0
147,1516,120.0,-10.0
148,1530,50.0,40.0
149,1538,70.0,-150.0
150,1546,-40.0,-90.0
151,1555,0.0,-90.0
152,1560,-70.0,50.0
153,1569,150.0,10.0
154,1578,40.0,-40.0
155,1587,100.0,-40.0
156,1596,-130.0,0.0
157,1601,70.0,40.0
158,1606,0.0,-90.0
159,1619,-10.0,-120.0
160,1640,0.0,-60.0
161,1650,-30.0,-190.0
162,1666,0.0,110.0
163,1673,0.0,50.0
164,1690,-100.0,0.0
165,1698,10.0,-50.0
166,1709,10.0,-60.0
167,1721,0.0,90.0
168,1729,-130.0,80.0
169,1738,0.0,60.0
170,1747,-60.0,-140.0
171,1762,70.0,-60.0
172,1775,80.0,70.0
173,1785,-20.0,-100.0
174,1799,-20.0,-100.0
175,1803,70.0,0.0
176,1821,-10.0,-100.0
177,1828,50.0,50.0
178,1841,60.0,-20.0
179,1852,20.0,150.0
180,1859,100.0,80.0
181,1868,0.0,-60.0
182,1876,-40.0,-40.0
183,1884,-80.0,0.0
184,1894,-30.0,-10.0
185,1906,30.0,-130.0
186,1918,0.0,180.0
187,1928,-70.0,0.0
188,1933,80.0,60.0
189,1945,0.0,140.0
190,1952,70.0,10.0
191,1961,10.0,100.0
192,1967,10.0,130.0
193,1981,30.0,-100.0
194,1990,10.0,-140.0
195,2000,-30.0,-160.0
196,2012,0.0,-60.0
197,2023,20.0,180.0
198,2031,-70.0,-90.0
199,2047,80.0,0.0
200,2056,-160.0,-20.0
201,2068,-140.0,140.0
202,2074,80.0,60.0
203,2083,-30.0,-120.0
204,2092,0.0,-140.0
205,2100,-80.0,10.0
206,2112,120.0,-110.0
207,2125,100.0,-40.0
208,2141,30.0,-90.0
209,2151,160.0,-60.0
210,2161,100.0,0.0
211,2171,-10.0,-30.0
212,2184,-40.0,-160.0
213,2200,-170.0,140.0
214,2211,60.0,-30.0
215,2224,-160.0,20.0
216,2238,-10.0,-70.0
217,2250,-60.0,10.0
218,2260,90.0,-70.0
219,2265,0.0,-170.0
220,2273,0.0,-70.0
221,2283,10.0,80.0
222,2292,-20.0,-30.0
223,2300,-100.0,0.0
224,2312,0.0,-60.0
225,2324,-20.0,-40.0
226,2329,-100.0,60.0
227,2335,-40.0,120.0
228,2349,-30.0,-10.0
229,2358,120.0,20.0
230,2366,110.0,-50.0
231,2378,20.0,-130.0
232,2387,60.0,0.0
233,2400,0.0,60.0
234,2409,0.0,110.0
235,2420,70.0,0.0
236,2433,70.0,-80.0
237,2442,100.0,110.0
238,2451,50.0,0.0
239,2464,130.0,-140.0
240,2469,30.0,-120.0
241,2480,0.0,90.0
242,2496,60.0,40.0
243,2506,10.0,140.0
244,2517,-70.0,-50.0
245,2526,0.0,-160.0
246,2539,0.0,-100.0
247,2549,-50.0,-20.0
248,2568,-120.0,30.0
249,2584,-160.0,-40.0
250,2594,-50.0,40.0
251,2601,80.0,-50.0
252,2613,0.0,-160.0
253,2624,-50.0,-60.0
254,2639,30.0,-70.0
255,2644,-10.0,-190.0
256,2651,40.0,-50.0
257,2662,-50.0,-180.0
258,2676,-90.0,0.0
259,2685,0.0,-90.0
260,2695,120.0,100.0
261,2706,-40.0,-130.0
262,2715,50.0,-50.0
263,2724,110.0,-90.0
264,2736,50.0,-140.0
265,2751,-10.0,70.0
266,2763,90.0,10.0
267,2774,0.0,110.0
268,2785,0.0,-40.0
269,2795,140.0,-10.0
270,2808,-10.0,120.0
271,2819,30.0,-20.0
272,2830,10.0,-90.0
273,2834,0.0,-150.0
274,2845,0.0,-50.0
275,2855,-110.0,0.0
276,2869,-10.0,-200.0
277,2879,80.0,0.0
278,2889,-10.0,-70.0
279,2902,30.0,-180.0
280,2909,-60.0,30.0
281,2920,50.0,-120.0
282,2931,150.0,0.0
283,2945,0.0,60.0
284,2955,30.0,-90.0
285,2967,170.0,-70.0
286,2976,-10.0,90.0
287,2987,10.0,-160.0
288,2994,-40.0,-80.0
289,2998,-60.0,0.0
290,3010,-110.0,-60.0
291,3018,-10.0,200.0
292,3026,50.0,30.0
293,3033,50.0,80.0
294,3042,0.0,-100.0
295,3055,0.0,-50.0
296,3066,10.0,-70.0
297,3081,-20.0,-140.0
298,3093,20.0,-110.0
299,3104,-120.0,-20.0
300,3112,0.0,140.0
301,3124,-100.0,30.0
302,3132,-120.0,0.0
303,3146,180.0,100.0
304,3163,-10.0,80.0
305,3168,-10.0,-50.0
306,3179,-100.0,-80.0
307,3188,0.0,-90.0
308,3194,-10.0,-130.0
309,3207,150.0,-10.0
310,3225,70.0,-40.0
311,3231,-110.0,-70.0
312,3240,130.0,100.0
313,3250,40.0,-30.0
314,3258,10.0,70.0
315,3269,30.0,170.0
316,3283,80.0,0.0
317,3297,70.0,90.0
318,3313,-20.0,110.0
319,3326,10.0,30.0
320,3334,140.0,0.0
321,3349,90.0,-70.0
322,3364,20.0,-80.0
323,3378,20.0,-100.0
324,3390,30.0,-50.0
325,3401,-10.0,50.0
326,3408,0.0,60.0
327,3421,-10.0,-50.0
328,3431,-10.0,-60.0
329,3444,70.0,-150.0
330,3450,0.0,90.0
331,3467,40.0,-60.0
332,3479,-70.0,60.0
333,3488,-30.0,-50.0
334,3497,-20.0,10.0
335,3512,-10.0,110.0
336,3521,0.0,-140.0
337,3530,10.0,-10.0
338,3540,-40.0,50.0
339,3554,-20.0,0.0
340,3567,-60.0,-10.0
341,3583,-40.0,-170.0
342,3591,-120.0,0.0
343,3601,0.0,50.0
344,3613,10.0,-110.0
345,3623,0.0,-120.0
346,3634,50.0,-80.0
347,3641,150.0,0.0
348,3652,-30.0,-200.0
349,3659,0.0,80.0
350,3674,-30.0,-20.0
351,3694,-100.0,90.0
352,3702,-10.0,-30.0
353,3715,-10.0,-70.0
354,3724,0.0,-100.0
355,3734,70.0,0.0
356,3743,0.0,-10.0
357,3750,0.0,-80.0
358,3758,30.0,60.0
359,3766,120.0,10.0
360,3781,-50.0,20.0
361,3796,-50.0,40.0
362,3812,40.0,-40.0
363,3826,30.0,-40.0
364,3837,10.0,-30.0
365,3846,0.0,80.0
366,3856,0.0,90.0
367,3864,-50.0,-40.0
368,3872,130.0,40.0
369,3884,0.0,-100.0
370,3890,-30.0,20.0
