#NUM,873,,
#TIME,UID,dx/dt,dy/dt
#TU=60,,,
1,4,70,60
2,5,40,-190
3,14,80,0
4,16,0,-110
5,20,-30,-210
6,22,-110,0
7,25,0,-180
8,27,0,-100
9,27,0,-60
10,33,-20,-140
11,37,60,60
12,40,0,60
13,43,-130,-80
14,45,0,100
15,47,90,-50
16,51,-10,-150
17,55,-10,-80
18,59,0,70
19,62,-150,80
20,65,10,-120
21,67,0,-70
22,69,180,0
23,74,0,-160
24,76,50,-30
25,81,0,-160
26,83,-70,0
27,86,60,60
28,89,0,-130
29,94,-180,110
30,98,40,0
31,100,100,130
32,102,-150,-10
33,103,-50,0
34,110,20,80
35,115,-20,-150
36,118,-80,-70
37,121,-150,10
38,125,-180,-30
39,132,50,60
40,133,-110,-120
41,136,-10,-110
42,138,60,-40
43,142,-70,10
44,150,-40,0
45,150,10,60
46,154,0,-100
47,161,-120,90
48,167,-90,-20
49,169,90,-90
50,172,-30,-170
51,177,-50,0
52,180,120,0
53,185,-120,-170
54,189,0,-100
55,193,10,-100
56,198,-40,110
57,201,50,-30
58,207,0,-180
59,208,-180,0
60,211,20,-80
61,214,50,130
62,218,-40,160
63,222,10,-90
64,226,-70,-80
65,232,70,70
66,239,90,0
67,243,-20,-110
68,245,-110,90
69,248,10,-80
70,250,140,-100
71,261,20,-110
72,264,70,-40
73,267,0,170
74,272,-90,-70
75,275,60,60
76,277,0,140
77,280,70,80
78,283,110,0
79,286,110,0
80,290,-170,-110
81,293,0,70
82,295,-10,-90
83,299,60,130
84,302,-30,40
85,304,-10,-160
86,305,60,-70
87,308,0,-90
88,315,-30,-180
89,320,130,110
90,326,0,110
91,329,0,-150
92,333,0,-220
93,336,-60,-50
94,338,-130,110
95,340,160,140
96,343,-10,-60
97,345,0,-60
98,345,-170,110
99,350,0,100
100,353,0,100
101,353,30,-160
102,358,80,0
103,363,0,-150
104,367,90,60
105,369,0,50
106,372,-60,-50
107,375,0,-180
108,376,-10,-100
109,378,20,160
110,382,-100,90
111,384,40,30
112,388,0,90
113,391,0,-190
114,392,0,-80
115,396,30,150
116,400,-10,170
117,407,-20,-70
118,409,-170,0
119,415,-80,-70
120,421,0,110
121,426,0,-160
122,431,50,-60
123,434,90,0
124,441,180,-10
125,443,-120,140
126,445,0,-90
127,447,60,-60
128,451,-120,-10
129,455,110,0
130,462,-150,-120
131,466,-150,120
132,471,90,0
133,476,120,-100
134,481,0,-110
135,484,0,-70
136,490,100,10
137,493,-50,-170
138,497,10,80
139,504,0,70
140,504,30,-90
141,512,-10,100
142,516,0,-120
143,521,-80,-120
144,525,0,-100
145,532,50,-110
146,536,80,60
147,539,0,-90
148,542,60,-40
149,547,0,210
150,550,0,-90
151,557,0,-170
152,558,-80,0
153,561,50,0
154,566,0,-140
155,572,40,-180
156,574,60,0
157,580,0,-130
158,583,-110,-140
159,590,-10,110
160,594,0,-140
161,599,0,-80
162,599,60,0
163,602,140,120
164,603,80,70
165,603,0,-50
166,608,-10,-180
167,611,0,-220
168,615,10,60
169,618,120,-10
170,621,130,-10
171,622,-60,-50
172,626,0,170
173,631,130,-110
174,636,40,-40
175,641,30,-140
176,642,90,10
177,647,-90,0
178,655,80,0
179,660,60,120
180,661,10,-90
181,668,20,-130
182,669,-20,-180
183,675,-50,30
184,678,0,-170
185,679,-10,-100
186,682,0,-70
187,687,0,-140
188,691,130,0
189,693,10,90
190,698,0,-220
191,702,-20,80
192,706,0,60
193,706,-20,-170
194,709,-20,-220
195,713,-10,-50
196,714,-100,80
197,716,-10,-170
198,718,50,40
199,721,-110,140
200,723,90,130
201,724,0,-70
202,726,40,-180
203,727,100,-100
204,732,0,90
205,736,-140,0
206,742,10,-100
207,747,-10,70
208,748,-150,-120
209,754,10,-210
210,760,-40,-20
211,762,0,90
212,766,150,0
213,773,-40,-100
214,776,120,110
215,781,30,-140
216,788,40,60
217,794,0,-120
218,799,-60,-80
219,802,20,-80
220,806,0,-150
221,809,80,-30
222,812,50,70
223,814,120,180
224,815,10,180
225,817,10,-60
226,820,-110,-70
227,827,90,140
228,834,-80,60
229,835,0,-70
230,838,0,-100
231,841,30,-50
232,843,10,-150
233,848,0,60
234,851,-80,-40
235,853,-10,-160
236,856,-150,-150
237,860,-30,50
238,862,-20,-140
239,866,-20,120
240,870,0,-60
241,871,90,-10
242,874,0,60
243,875,10,-50
244,879,0,-110
245,881,0,150
246,884,30,-20
247,890,0,70
248,893,20,200
249,896,20,-80
250,901,70,-130
251,903,0,160
252,905,-10,-70
253,908,-60,-80
254,912,-10,140
255,916,0,50
256,919,-30,-140
257,921,-20,-120
258,928,-60,50
259,932,50,60
260,938,-120,10
261,941,0,-120
262,944,130,-70
263,946,80,-70
264,949,-10,-100
265,952,-100,-20
266,956,100,-60
267,965,0,-50
268,971,20,-50
269,974,0,-90
270,976,60,0
271,980,-10,100
272,984,-110,0
273,985,70,-80
274,989,0,130
275,992,-120,-110
276,996,90,70
277,997,0,-140
278,1001,120,90
279,1004,90,0
280,1009,-10,-110
281,1011,110,0
282,1014,40,70
283,1017,-70,40
284,1020,0,-180
285,1025,0,-130
286,1026,0,-80
287,1030,180,-20
288,1031,90,0
289,1036,10,-70
290,1037,-70,-50
291,1043,0,-30
292,1051,-80,120
293,1058,-210,0
294,1060,0,-90
295,1063,-140,70
296,1065,-140,-10
297,1067,0,-50
298,1069,-130,0
299,1072,-80,10
300,1074,0,-60
301,1078,-10,-170
302,1080,-80,80
303,1085,50,0
304,1087,-100,-150
305,1094,-110,-90
306,1097,-70,70
307,1100,-40,-20
308,1101,0,150
309,1104,-90,0
310,1107,0,-50
311,1116,110,-80
312,1124,-60,30
313,1128,-30,130
314,1130,0,80
315,1130,10,-70
316,1135,-110,90
317,1138,-20,-80
318,1140,-20,-20
319,1145,150,10
320,1146,0,-170
321,1149,100,70
322,1153,-20,-160
323,1155,-20,-180
324,1158,40,-40
325,1159,-20,90
326,1162,-130,-140
327,1163,0,-60
328,1164,-110,-10
329,1168,-90,90
330,1172,90,-20
331,1177,-170,-20
332,1183,0,-150
333,1185,-50,0
334,1188,-20,-120
335,1193,120,-60
336,1198,-10,-80
337,1201,100,60
338,1203,-50,-40
339,1207,70,90
340,1210,140,0
341,1215,0,-160
342,1219,0,-60
343,1228,-140,-30
344,1229,140,-60
345,1233,-50,-40
346,1237,190,-20
347,1238,-130,0
348,1240,60,-60
349,1242,-150,-140
350,1245,10,-70
351,1246,0,-70
352,1249,210,-10
353,1254,-110,-50
354,1261,-40,-60
355,1263,0,120
356,1266,120,-90
357,1268,10,80
358,1272,80,-100
359,1276,-110,110
360,1279,0,-60
361,1280,80,-100
362,1283,10,-80
363,1288,-90,20
364,1295,20,150
365,1299,10,-70
366,1302,40,40
367,1307,0,-130
368,1310,-150,-50
369,1313,50,30
370,1320,140,-140
371,1323,110,20
372,1326,10,80
373,1327,210,-20
374,1332,0,-100
375,1334,0,50
376,1335,30,80
377,1341,-160,10
378,1344,0,-50
379,1346,-30,-130
380,1351,0,-210
381,1354,-60,30
382,1356,130,100
383,1360,100,90
384,1364,0,80
385,1367,100,80
386,1372,130,0
387,1376,20,-20
388,1378,90,20
389,1380,10,80
390,1385,20,60
391,1386,0,-140
392,1389,-10,130
393,1392,50,-40
394,1396,60,80
395,1397,80,10
396,1399,0,50
397,1402,0,-170
398,1405,10,-80
